song identifier	 likelihood_art	 likelihood_pop	 likelihood_tradition	 likely_type	 was_art	 was_pop	 was_tradition	 was_type	
cache/2016.Fhin.NOON  179.But Now A Warm Feel Is Running.wav	0.043999903	0.841839075	0.114161022	1	0	1	0	1	
cache/2010.Linkin Park.A Thousand Suns.Blackout.wav	0.087775566	0.872848332	0.039376084	1	0	1	0	1	
cache/2015.Of Monsters And Men.Beneath The Skin.Winter Sound.wav	0.073086135	0.773592055	0.153321773	1	0	1	0	1	
cache/2015.IAMX.Metanoia.Happiness.wav	0.06219805	0.883750021	0.054051928	1	0	1	0	1	
cache/2015.MOGWAI.Central Belters.Mexican Grand Prix.wav	0.172094941	0.692373335	0.135531709	1	0	1	0	1	
cache/2015.Angus & Julia Stone.Spotify Sessions.Little Whiskey.wav	0.077455521	0.863437116	0.059107337	1	0	1	0	1	
"cache/2016.OK Go.Twelve Months of OK Go.Return (Live at Tipitina's Uptown: New Orleans, LA, 11610).wav"	0.148474082	0.736213982	0.11531195	1	0	1	0	1	
cache/2014.The Fray.Helios.Wherever This Goes.wav	0.172422498	0.715813756	0.111763731	1	0	1	0	1	
cache/2014.Lower Than Atlantis.Lower Than Atlantis (Deluxe).Damn Nation.wav	0.151094228	0.745141268	0.103764497	1	0	1	0	1	
cache/2016.Aperture Science Psychoacoustics Laboratory.Portal 2: Songs to Test By - Volume 3.Reconstructing More Science.wav	0.053866491	0.870363235	0.075770274	1	0	1	0	0	
cache/2016.Blue October.Home.The Lucky One.wav	0.082530662	0.879934072	0.03753525	1	0	1	0	1	
cache/2016.Tall Heights.Rafters.The Hollow.wav	0.084412172	0.8458426	0.069745235	1	0	1	0	2	
cache/2010.Daft Punk.Tron: Legacy (Amazon MP3 Exclusive Version).Tron Legacy (End Titles).wav	0.055488385	0.911154687	0.033356912	1	0	1	0	0	
cache/2014.The Fray.Helios.Hold My Hand.wav	0.129217416	0.787117541	0.083665021	1	0	1	0	1	
cache/2003.Death Cab For Cutie.Transatlanticism.Transatlanticism.wav	0.083000943	0.897386611	0.01961243	1	0	1	0	1	
cache/2003.Train.My Private Nation.Calling All Angels.wav	0.172990412	0.751851797	0.075157776	1	0	1	0	1	
cache/2014.Tarwater.Adrift.Ray.wav	0.12757498	0.763538659	0.108886339	1	0	1	0	1	
cache/2009.Skillet.Awake (Deluxe).Monster (Alternate Radio Version).wav	0.082844317	0.859352231	0.057803459	1	0	1	0	1	
cache/2014.Rise Against.The Black Market.Methadone.wav	0.13276957	0.806976616	0.060253792	1	0	1	0	1	
cache/2016.The Dunwells.Light Up The Sky.Hey Now.wav	0.068360157	0.838804185	0.092835665	1	0	1	0	1	
cache/2015.Royal Blood.Insurgent (Original Motion Picture Soundtrack).Blood Hands.wav	0.021065403	0.941944838	0.036989763	1	0	1	0	0	
cache/2015.Angus & Julia Stone.Angus & Julia Stone: The Remixes.Heart Beats Slow (Suna~ Remix).wav	0.052941065	0.917640209	0.029418735	1	0	1	0	1	
cache/2002.Frou Frou.Details.Psychobabble.wav	0.174700409	0.656426311	0.16887328	1	0	1	0	1	
cache/2016.Miike Snow.iii.Longshot (7 Nights).wav	0.054750189	0.860611677	0.084638149	1	0	1	0	1	
cache/2015.Brian Tyler.Avengers: Age of Ultron.Breaking and Entering.wav	0.065228693	0.880534947	0.054236364	1	0	1	0	0	
cache/2014.Casa Murilo.Ignition.Jenny.wav	0.031479023	0.949653924	0.018867027	1	0	1	0	1	
cache/2014.Tarwater.Adrift.The Tape.wav	0.052861594	0.900444508	0.046693876	1	0	1	0	1	
cache/2015.Brian Tyler.Avengers: Age of Ultron.Birth of Ultron.wav	0.234689236	0.685587645	0.079723135	1	0	1	0	0	
cache/2001.Enrique Iglesias.Escape.She Be the One.wav	0.110806048	0.816812277	0.072381675	1	0	1	0	2	
cache/2015.They Might Be Giants.Glean.Aaa.wav	0.048896432	0.895469129	0.055634424	1	0	1	0	1	
cache/2016.Tim Legend.NOON  170.808s & birthdaycakes.wav	0.021576541	0.950426877	0.027996566	1	0	1	0	1	
cache/2016.P!nk.Funhouse.Funhouse (Explicit).wav	0.139912367	0.739410639	0.120676972	1	0	1	0	1	
cache/2016.Mumford & Sons.Sigh No More.Little Lion Man.wav	0.079957701	0.710286379	0.209755927	1	0	1	0	2	
"cache/2014.Coldplay.Ghost Stories Live 2014.Ink (Live At Le Casino De Paris, Paris).wav"	0.068710417	0.823458195	0.107831366	1	0	1	0	1	
cache/2014.The Who.Who's Next (Deluxe Edition).Getting In Tune.wav	0.120974481	0.742851675	0.136173815	1	0	1	0	1	
cache/2005.Coldplay.X&Y.Til Kingdom Come [Hidden Track].wav	0.114112735	0.863024354	0.022862907	1	0	1	0	1	
cache/2016.Ke$ha.Deconstructed.Blow.wav	0.149198264	0.781700492	0.069101237	1	0	1	0	1	
cache/2014.Pentatonix.That's Christmas To Me.Sleigh Ride.wav	0.052553553	0.901392221	0.046054218	1	0	1	0	2	
cache/2009.Breaking Benjamin.Dear Agony.What Lies Beneath.wav	0.076451987	0.88280189	0.040746134	1	0	1	0	1	
cache/2016.Ruth Koleva.R U T H.What Am I Supposed To?.wav	0.090062536	0.766932845	0.143004596	1	0	1	0	1	
cache/2015.Of Monsters And Men.Beneath The Skin.Black Water (Chris Taylor Of Grizzly Bear Remix).wav	0.228609815	0.695195854	0.076194316	1	0	1	0	1	
cache/2014.The Who.Who's Next (Deluxe Edition).Love Ain't for Keeping (New York Record Plant Session).wav	0.076957531	0.866324008	0.056718431	1	0	1	0	1	
cache/2016.XYLÃ˜.America.BLK CLD.wav	0.092604443	0.864075184	0.043320395	1	0	1	0	1	
"cache/2014.Lorde.The Hunger Games: Mockingjay, Pt. 1 (Original Motion Picture Soundtrack).Yellow Flicker Beat.wav"	0.033162571	0.936593413	0.030243987	1	0	1	0	0	
cache/2015.Owl City.My Everything.My Everything.wav	0.074109666	0.841362417	0.084527932	1	0	1	0	1	
cache/2014.Beware of Safety.Lotusville.To Be Curious is Dangerous Enough.wav	0.073988907	0.883240104	0.042770974	1	0	1	0	1	
cache/2011.Avicii.Fade Into Darkness.Fade Into Darkness (Vocal Radio Edit).wav	0.137862682	0.751658559	0.110478751	1	0	1	0	1	
cache/2004.Snow Patrol.Final Straw.Run.wav	0.035562415	0.943470955	0.020966655	1	0	1	0	1	
cache/2014.OK Go.Hungry Ghosts.The Writings On The Wall.wav	0.04002519	0.928974867	0.030999927	1	0	1	0	1	
